  -10.0834	0
   -9.0849	0.0142
   -8.0863	0.0851
   -7.0486	0.2270
   -6.2850	0.4256
   -5.5801	0.6526
   -5.0515	0.8229
   -4.5033	1.0073
   -4.0725	1.2095
   -3.4655	1.4117
   -2.7803	1.6706
   -2.0362	1.8266
   -1.3510	1.9224
   -0.5678	2.0075
    0.0000	2.0324
    0.7636	1.9756
    1.5859	1.8940
    2.1929	1.7770
    3.6810	1.4046
    4.3467	1.2272
    5.2081	0.9825
    6.0892	0.7803
    6.9311	0.5959
    7.7926	0.4292
    8.8499	0.2341
    9.9464	0.1525
   11.2778	0.0745
